行号 / Row ID,资源中文名 / Asset Name CN,资源英文名 / Asset Name EN,模块中文 / Module CN,模块英文 / Module EN,资源类型中文 / Type CN,资源类型英文 / Type EN,主状态中文 / Status CN,主状态英文 / Status EN,审核状态中文 / Review Status CN,审核状态英文 / Review Status EN,当前相对路径 / Current Relative Path,当前绝对路径 / Current Absolute Path,是否被引用 / Referenced,引用数量 / Reference Count,主要引用位置 / Primary References,当前运行版本 / Runtime Version,原始来源路径 / Original Source Path,生产来源路径 / Production Source Path,替代前资源 / Replaced Asset,替代后资源 / Replacement Asset,来源判定方法 / Provenance Method,来源可信度 / Provenance Confidence,文件格式 / Extension,像素尺寸 / Dimensions,文件大小 / Size Bytes,Alpha 状态 / Alpha,是否含烘焙文字 / Text Baked,SHA-256,Git 状态 / Git State,最后修改时间 / Last Modified,备注与行动 / Notes and Action
677,每日签到卡牌premiumv01,Daily Signin Card Premium v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_signin_card_premium_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\backplates\daily_signin_card_premium_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_signin_card_premium_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,519×748,216877,有 Alpha / Alpha,未知 / Unknown,b9a5add277d322e711e6e5c994062ddf44f121f2e187abbe1d459babf13d95fe,未跟踪 / Untracked,2026-08-18T02:45:23.312Z,
678,每日签到卡牌选中v01,Daily Signin Card Selected v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_signin_card_selected_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\backplates\daily_signin_card_selected_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_signin_card_selected_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,519×748,217555,有 Alpha / Alpha,未知 / Unknown,3374d398bc811d1df2202a2ce41b34da03ba4cbbd3120b1bd7c97862c2c0e813,未跟踪 / Untracked,2026-08-18T02:45:29.310Z,
679,每日签到面板外框固定v01,Daily Signin Panel Shell Fixed v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_signin_panel_shell_fixed_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\backplates\daily_signin_panel_shell_fixed_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_signin_panel_shell_fixed_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,1924×705,689558,有 Alpha / Alpha,未知 / Unknown,a81c97a4387a181e6489592e730aa6d70d7d1b8e6ca8655fe0b1f0ca02c76884,未跟踪 / Untracked,2026-08-16T14:30:46.879Z,
680,每日任务面板外框固定v01,Daily Task Panel Shell Fixed v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_task_panel_shell_fixed_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\backplates\daily_task_panel_shell_fixed_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_task_panel_shell_fixed_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,1171×1138,700540,有 Alpha / Alpha,未知 / Unknown,6a5836615b86aada731c6998b3c099a23673327c37bdbdd5174a56b71be6c6d8,未跟踪 / Untracked,2026-08-16T14:30:50.347Z,
681,每日任务行默认v01,Daily Task Row Default v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_task_row_default_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\backplates\daily_task_row_default_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_task_row_default_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,381×174,48127,有 Alpha / Alpha,未知 / Unknown,e9a1bbead91bf3cb361cbb8909b34afb64016281c4d5fe078ed923e72b00f2d6,未跟踪 / Untracked,2026-08-16T14:30:40.587Z,
682,每日任务行选中v01,Daily Task Row Selected v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_task_row_selected_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\backplates\daily_task_row_selected_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_task_row_selected_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,381×174,44297,有 Alpha / Alpha,未知 / Unknown,53554c0977366da6004824ee1e796d0ac26b8a34721790a47c5c9c604d026a5c,未跟踪 / Untracked,2026-08-16T14:30:40.779Z,
683,每日标题tabv01,Daily Title Tab v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_title_tab_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\backplates\daily_title_tab_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/backplates/daily_title_tab_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,356×149,37398,有 Alpha / Alpha,未知 / Unknown,be3964719c21b86c433a5adf71225ee34978566231d4373812017ad8c43ba6bb,未跟踪 / Untracked,2026-08-16T14:30:52.209Z,
684,每日图标活跃星阶v01,Daily Icon Activity Star v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_activity_star_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\icons\daily_icon_activity_star_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_activity_star_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,512×512,101904,有 Alpha / Alpha,未知 / Unknown,dc60e093280982cb387ff4aae3165e948cd042961a8f8c224bb2b318368de776,未跟踪 / Untracked,2026-08-16T14:30:52.551Z,
685,每日图标挑战v01,Daily Icon Challenge v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_challenge_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\icons\daily_icon_challenge_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_challenge_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,512×512,95381,有 Alpha / Alpha,未知 / Unknown,074c0d90c90ef4c5559c003c2598a243b88844f2f740daa7a1d510ba992054c7,未跟踪 / Untracked,2026-08-16T14:30:52.658Z,
686,每日图标宝箱v01,Daily Icon Chest v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_chest_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\icons\daily_icon_chest_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_chest_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,309×276,105219,有 Alpha / Alpha,未知 / Unknown,e6e75ceed5316d6beb6896fc966b93fc3adfba488ee6581dfb8827f39b70c310,未跟踪 / Untracked,2026-08-14T07:27:56.000Z,
687,每日图标已领取checkv01,Daily Icon Claimed Check v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_claimed_check_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\icons\daily_icon_claimed_check_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_claimed_check_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,512×512,48337,有 Alpha / Alpha,未知 / Unknown,bc896b2b2203a0a3d05145a185b0b817c970afd026b3d1d10b4434d23bdbbf87,未跟踪 / Untracked,2026-08-16T14:30:52.831Z,
688,每日图标金币v01,Daily Icon Coin v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_coin_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\icons\daily_icon_coin_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_coin_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,255×259,71227,有 Alpha / Alpha,未知 / Unknown,de1db647143e902ba7dfa875f5f78d09c07396452735cf4625e7cbf8a97f6c6e,未跟踪 / Untracked,2026-08-14T07:27:56.000Z,
689,每日图标宝石v01,Daily Icon Gem v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_gem_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\icons\daily_icon_gem_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_gem_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,230×258,55086,有 Alpha / Alpha,未知 / Unknown,c234d0d05937aa660987a8b03853362a5045f9dc6ec2ec58b653e2f85edcdb7f,未跟踪 / Untracked,2026-08-14T07:27:56.000Z,
690,每日图标登录v01,Daily Icon Login v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_login_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\icons\daily_icon_login_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_login_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,512×512,80774,有 Alpha / Alpha,未知 / Unknown,a557966cc19f563ab37e9f77f46888794b8e2f6545ea8918360f81eb3ee9ec60,未跟踪 / Untracked,2026-08-16T14:30:53.092Z,
691,每日图标合成v01,Daily Icon Merge v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_merge_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\icons\daily_icon_merge_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_merge_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,512×512,83338,有 Alpha / Alpha,未知 / Unknown,b4f5ed3de8e338f670b341459ea011975a644183da64445f3b174d4a403079de,未跟踪 / Untracked,2026-08-16T14:30:53.204Z,
692,每日图标怪物v01,Daily Icon Monster v01,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_monster_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\icons\daily_icon_monster_v01.png,否 / No,0,,v01,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_icon_monster_v01.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,512×512,105029,有 Alpha / Alpha,未知 / Unknown,636aa9363c144a7bc4c3cfae4bb41f72b3986fb67be76e5ab667dd65ee822012,未跟踪 / Untracked,2026-08-16T14:30:53.307Z,
693,待命名（Daily Return Arrow v02）,Daily Return Arrow v02,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_return_arrow_v02.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\cutouts\icons\daily_return_arrow_v02.png,否 / No,0,,v02,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/cutouts/icons/daily_return_arrow_v02.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,128×128,3599,有 Alpha / Alpha,未知 / Unknown,c5b3f88b5e7992d2694eeba9fe04308b313373db84b51ed17cd5a321013cb2fb,未跟踪 / Untracked,2026-08-16T14:30:53.359Z,
694,待命名（Daily Program Runtime 941x1672 v02）,Daily Program Runtime 941x1672 v02,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/previews/daily_program_runtime_941x1672_v02.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\previews\daily_program_runtime_941x1672_v02.png,否 / No,0,,v02,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/previews/daily_program_runtime_941x1672_v02.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,941×1672,1315106,有 Alpha / Alpha,未知 / Unknown,2cff7b2babb210bb4b4005ec172359aed8ac560b2a754828244e9f0aeb33c0bd,未跟踪 / Untracked,2026-08-18T14:33:23.231Z,
695,待命名（Daily Program Runtime After Claim 941x1672 v02）,Daily Program Runtime After Claim 941x1672 v02,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/previews/daily_program_runtime_after_claim_941x1672_v02.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\previews\daily_program_runtime_after_claim_941x1672_v02.png,否 / No,0,,v02,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/previews/daily_program_runtime_after_claim_941x1672_v02.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,941×1672,1315082,有 Alpha / Alpha,未知 / Unknown,80b6bd01f0fc4d3cb569ef0a58370da1026f5f4eb6cc83d983928f5f23491c47,未跟踪 / Untracked,2026-08-18T14:33:24.523Z,
696,待命名（Daily Program Runtime Day1 568x1012 v02）,Daily Program Runtime Day1 568x1012 v02,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/previews/daily_program_runtime_day1_568x1012_v02.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\previews\daily_program_runtime_day1_568x1012_v02.png,否 / No,0,,v02,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/previews/daily_program_runtime_day1_568x1012_v02.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,568×1012,633180,有 Alpha / Alpha,未知 / Unknown,7a885b4e3bcffa5091261bc37ef6815d567cce94c8ecaaad361d7254cca5e663,未跟踪 / Untracked,2026-08-18T14:33:31.439Z,
697,待命名（Daily Program Runtime Day1 941x1672 v02）,Daily Program Runtime Day1 941x1672 v02,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/previews/daily_program_runtime_day1_941x1672_v02.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\previews\daily_program_runtime_day1_941x1672_v02.png,否 / No,0,,v02,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/previews/daily_program_runtime_day1_941x1672_v02.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,941×1672,1312867,有 Alpha / Alpha,未知 / Unknown,15db68bbfc6fb21e45b4b35a7204264a42d387149bf0ca8819970f3031a8c001,未跟踪 / Untracked,2026-08-18T14:33:25.775Z,
698,待命名（Daily Program v02 Dark Qa）,Daily Program v02 Dark Qa,日常组合页生产,Daily Program Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/qa/daily_program_v02_dark_qa.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_program_composition\2026-08-16_cutouts_v02\qa\daily_program_v02_dark_qa.png,否 / No,0,,v02,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01/cutouts,art/production/ui/daily_program_composition/2026-08-16_cutouts_v02/qa/daily_program_v02_dark_qa.png,art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,1440×1960,727487,无 Alpha / Opaque,未知 / Unknown,b7feef4370eb53d5e7d070c03b379b1a5915426aebe287fc77e3802a5b65224e,未跟踪 / Untracked,2026-08-16T14:30:54.386Z,
699,待命名（Signin Components Sheet Chroma v01）,Signin Components Sheet Chroma v01,签到界面生产,Daily Sign-In Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_signin/2026-08-14_cutouts_v01/chroma/signin_components_sheet_chroma_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_signin\2026-08-14_cutouts_v01\chroma\signin_components_sheet_chroma_v01.png,否 / No,0,,v01,C:/Users/PC/.codex/generated_images/019fd5b4-60d9-7872-a83f-addd7d2d350f/exec-f71362d5-2896-4052-8adc-a807686def35.png,art/production/ui/daily_signin/2026-08-14_cutouts_v01/chroma/signin_components_sheet_chroma_v01.png,,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,1254×1254,1204949,无 Alpha / Opaque,未知 / Unknown,c5e2242dbe67f7fec9df07d254551fb27a2d89d8543c3a746bd3500f850f9f08,未跟踪 / Untracked,2026-08-14T06:58:10.447Z,
700,签到面板外框chromav01,Signin Panel Shell Chroma v01,签到界面生产,Daily Sign-In Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_signin/2026-08-14_cutouts_v01/chroma/signin_panel_shell_chroma_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_signin\2026-08-14_cutouts_v01\chroma\signin_panel_shell_chroma_v01.png,否 / No,0,,v01,C:/Users/PC/.codex/generated_images/019fd5b4-60d9-7872-a83f-addd7d2d350f/exec-f71362d5-2896-4052-8adc-a807686def35.png,art/production/ui/daily_signin/2026-08-14_cutouts_v01/chroma/signin_panel_shell_chroma_v01.png,,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,1536×1024,1152881,无 Alpha / Opaque,未知 / Unknown,fecb7d640c7214707c47ec625bbcc2939fd54904116e083ffd5571fab750f2eb,未跟踪 / Untracked,2026-08-14T07:12:33.340Z,
701,待命名（Signin Structure Sheet Chroma v01）,Signin Structure Sheet Chroma v01,签到界面生产,Daily Sign-In Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_signin/2026-08-14_cutouts_v01/chroma/signin_structure_sheet_chroma_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_signin\2026-08-14_cutouts_v01\chroma\signin_structure_sheet_chroma_v01.png,否 / No,0,,v01,C:/Users/PC/.codex/generated_images/019fd5b4-60d9-7872-a83f-addd7d2d350f/exec-f71362d5-2896-4052-8adc-a807686def35.png,art/production/ui/daily_signin/2026-08-14_cutouts_v01/chroma/signin_structure_sheet_chroma_v01.png,,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,1536×1024,1318184,无 Alpha / Opaque,未知 / Unknown,5fcc992888355dfc32861c9352d94cda572a566c9d27e4ae180fb68efc373d9c,未跟踪 / Untracked,2026-08-14T06:54:55.039Z,
702,签到卡牌默认v01,Signin Card Default v01,签到界面生产,Daily Sign-In Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_signin/2026-08-14_cutouts_v01/cutouts/signin_card_default_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_signin\2026-08-14_cutouts_v01\cutouts\signin_card_default_v01.png,否 / No,0,,v01,C:/Users/PC/.codex/generated_images/019fd5b4-60d9-7872-a83f-addd7d2d350f/exec-f71362d5-2896-4052-8adc-a807686def35.png,art/production/ui/daily_signin/2026-08-14_cutouts_v01/cutouts/signin_card_default_v01.png,,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,254×427,84104,有 Alpha / Alpha,否 / No,858ce54baa85b20e8f9fa3b595712c769b69bf726b3df36bcd8293602902cf7e,未跟踪 / Untracked,2026-08-14T07:27:56.232Z,
703,签到卡牌premiumv01,Signin Card Premium v01,签到界面生产,Daily Sign-In Production,位图,Raster Image,生产中间资源,Production Intermediate,已记录生产交付,Production Delivery Recorded,art/production/ui/daily_signin/2026-08-14_cutouts_v01/cutouts/signin_card_premium_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\production\ui\daily_signin\2026-08-14_cutouts_v01\cutouts\signin_card_premium_v01.png,否 / No,0,,v01,C:/Users/PC/.codex/generated_images/019fd5b4-60d9-7872-a83f-addd7d2d350f/exec-f71362d5-2896-4052-8adc-a807686def35.png,art/production/ui/daily_signin/2026-08-14_cutouts_v01/cutouts/signin_card_premium_v01.png,,,Manifest 包级来源证据 / Manifest Package-Level Source Evidence,MEDIUM / 中,.png,254×427,78221,有 Alpha / Alpha,否 / No,d0f664e7a0f4563670bfd4ac8e86e5368e6d6a38da19486c9ec0bb0ddf634e86,未跟踪 / Untracked,2026-08-14T07:27:56.509Z,
